Date,Index,Open,High,Low,Close,Volume,Currency
03-09-2018,NIFTY 50,11751.8,11751.8,11567.4,11582.35,241727008,INR
04-09-2018,NIFTY 50,11598.75,11602.55,11496.85,11520.3,262700992,INR
05-09-2018,NIFTY 50,11514.85,11542.65,11393.85,11476.95,253690000,INR
06-09-2018,NIFTY 50,11514.15,11562.25,11436.05,11536.9,255558000,INR
07-09-2018,NIFTY 50,11558.25,11603,11484.4,11589.1,305028992,INR
10-09-2018,NIFTY 50,11570.25,11573,11427.3,11438.1,295598016,INR
11-09-2018,NIFTY 50,11476.85,11479.4,11274,11287.5,318092992,INR
12-09-2018,NIFTY 50,11340.1,11380.75,11250.2,11369.9,276510016,INR
14-09-2018,NIFTY 50,11443.5,11523.25,11430.55,11515.2,285217984,INR
17-09-2018,NIFTY 50,11464.95,11464.95,11366.9,11377.75,207620992,INR
18-09-2018,NIFTY 50,11381.55,11411.45,11268.95,11278.9,248299008,INR
19-09-2018,NIFTY 50,11326.65,11332.05,11210.9,11234.35,258424000,INR
21-09-2018,NIFTY 50,11271.3,11346.8,10866.45,11143.1,741153024,INR
24-09-2018,NIFTY 50,11164.4,11170.15,10943.6,10967.4,398816000,INR
25-09-2018,NIFTY 50,10969.95,11080.6,10882.85,11067.45,417548992,INR
26-09-2018,NIFTY 50,11145.55,11145.55,10993.05,11053.8,351040992,INR
27-09-2018,NIFTY 50,11079.8,11089.45,10953.35,10977.55,418209984,INR
28-09-2018,NIFTY 50,11008.1,11034.1,10850.3,10930.45,492894016,INR
01-10-2018,NIFTY 50,10930.9,11035.65,10821.55,11008.3,398987008,INR
03-10-2018,NIFTY 50,10982.7,10989.05,10843.75,10858.25,398756992,INR
04-10-2018,NIFTY 50,10754.7,10754.7,10547.25,10599.25,438201984,INR
05-10-2018,NIFTY 50,10514.1,10540.65,10261.9,10316.45,625153984,INR
08-10-2018,NIFTY 50,10310.15,10398.35,10198.4,10348.05,470279008,INR
